nohup: ignoring input
[DeDL/SDL] Epoch 294/1000, train MSE=0.9744
[DeDL/SDL] Epoch 295/1000, train MSE=0.9718
[DeDL/SDL] Epoch 296/1000, train MSE=0.9681
[DeDL/SDL] Epoch 297/1000, train MSE=0.9664
[DeDL/SDL] Epoch 298/1000, train MSE=0.9629
[DeDL/SDL] Epoch 299/1000, train MSE=0.9595
[DeDL/SDL] Epoch 300/1000, train MSE=0.9561
[DeDL/SDL] Epoch 301/1000, train MSE=0.9533
[DeDL/SDL] Epoch 302/1000, train MSE=0.9504
[DeDL/SDL] Epoch 303/1000, train MSE=0.9471
[DeDL/SDL] Epoch 304/1000, train MSE=0.9441
[DeDL/SDL] Epoch 305/1000, train MSE=0.9406
[DeDL/SDL] Epoch 306/1000, train MSE=0.9371
[DeDL/SDL] Epoch 307/1000, train MSE=0.9338
[DeDL/SDL] Epoch 308/1000, train MSE=0.9308
[DeDL/SDL] Epoch 309/1000, train MSE=0.9252
[DeDL/SDL] Epoch 310/1000, train MSE=0.9216
[DeDL/SDL] Epoch 311/1000, train MSE=0.9158
[DeDL/SDL] Epoch 312/1000, train MSE=0.9106
[DeDL/SDL] Epoch 313/1000, train MSE=0.9038
[DeDL/SDL] Epoch 314/1000, train MSE=0.8946
[DeDL/SDL] Epoch 315/1000, train MSE=0.8859
[DeDL/SDL] Epoch 316/1000, train MSE=0.8743
[DeDL/SDL] Epoch 317/1000, train MSE=0.8617
[DeDL/SDL] Epoch 318/1000, train MSE=0.8466
[DeDL/SDL] Epoch 319/1000, train MSE=0.8340
[DeDL/SDL] Epoch 320/1000, train MSE=0.8227
[DeDL/SDL] Epoch 321/1000, train MSE=0.8174
[DeDL/SDL] Epoch 322/1000, train MSE=0.8098
[DeDL/SDL] Epoch 323/1000, train MSE=0.8053
[DeDL/SDL] Epoch 324/1000, train MSE=0.7993
[DeDL/SDL] Epoch 325/1000, train MSE=0.7946
[DeDL/SDL] Epoch 326/1000, train MSE=0.7899
[DeDL/SDL] Epoch 327/1000, train MSE=0.7847
[DeDL/SDL] Epoch 328/1000, train MSE=0.7814
[DeDL/SDL] Epoch 329/1000, train MSE=0.7763
[DeDL/SDL] Epoch 330/1000, train MSE=0.7730
[DeDL/SDL] Epoch 331/1000, train MSE=0.7686
[DeDL/SDL] Epoch 332/1000, train MSE=0.7661
[DeDL/SDL] Epoch 333/1000, train MSE=0.7626
[DeDL/SDL] Epoch 334/1000, train MSE=0.7605
[DeDL/SDL] Epoch 335/1000, train MSE=0.7564
[DeDL/SDL] Epoch 336/1000, train MSE=0.7539
[DeDL/SDL] Epoch 337/1000, train MSE=0.7505
[DeDL/SDL] Epoch 338/1000, train MSE=0.7478
[DeDL/SDL] Epoch 339/1000, train MSE=0.7454
[DeDL/SDL] Epoch 340/1000, train MSE=0.7421
[DeDL/SDL] Epoch 341/1000, train MSE=0.7397
[DeDL/SDL] Epoch 342/1000, train MSE=0.7372
[DeDL/SDL] Epoch 343/1000, train MSE=0.7349
[DeDL/SDL] Epoch 344/1000, train MSE=0.7331
[DeDL/SDL] Epoch 345/1000, train MSE=0.7313
[DeDL/SDL] Epoch 346/1000, train MSE=0.7278
[DeDL/SDL] Epoch 347/1000, train MSE=0.7251
[DeDL/SDL] Epoch 348/1000, train MSE=0.7225
[DeDL/SDL] Epoch 349/1000, train MSE=0.7184
[DeDL/SDL] Epoch 350/1000, train MSE=0.7170
[DeDL/SDL] Epoch 351/1000, train MSE=0.7130
[DeDL/SDL] Epoch 352/1000, train MSE=0.7105
[DeDL/SDL] Epoch 353/1000, train MSE=0.7067
[DeDL/SDL] Epoch 354/1000, train MSE=0.7029
[DeDL/SDL] Epoch 355/1000, train MSE=0.6996
[DeDL/SDL] Epoch 356/1000, train MSE=0.6954
[DeDL/SDL] Epoch 357/1000, train MSE=0.6919
[DeDL/SDL] Epoch 358/1000, train MSE=0.6870
[DeDL/SDL] Epoch 359/1000, train MSE=0.6822
[DeDL/SDL] Epoch 360/1000, train MSE=0.6772
[DeDL/SDL] Epoch 361/1000, train MSE=0.6721
[DeDL/SDL] Epoch 362/1000, train MSE=0.6671
